Domain,Area,Element,Item,Year,Value
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2000"",""14038791"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2001"",""19477550"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2002"",""18678410"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2003"",""17926418"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2004"",""17087555"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2005"",""15683785"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2006"",""18036511"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2007"",""15559075"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2008"",""23148450"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2009"",""17880760"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2010"",""8350022.5"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2011"",""16938002.4"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2012"",""13951676"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2013"",""15388704"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2014"",""20444257.7"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2015"",""17546155.4"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2016"",""17967161"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2017"",""20628955"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2018"",""16991907"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2019"",""20489088"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2020"",""20938993.2"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""2021"",""17995907.6"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""1992"",""6560"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""1993"",""6310"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""1994"",""5030"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""1995"",""4000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""1996"",""5548"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""1997"",""5178"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""1998"",""4731"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""1999"",""5538"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2000"",""5730"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2001"",""6310"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2002"",""5570"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2003"",""9705"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2004"",""10990"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2005"",""10770"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2006"",""10905"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2007"",""9538"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2008"",""6076"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2009"",""7234"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2010"",""5985"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2011"",""6725"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2012"",""6804"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2013"",""7062"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2014"",""7078.1"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2015"",""7173.6"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2016"",""7030"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2017"",""4368"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2018"",""5432"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2019"",""5715"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2020"",""6285.7"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beans, dry"",""2021"",""7008.1"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""1992"",""2790000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""1993"",""2470000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""1994"",""2180000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""1995"",""2140000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""1996"",""2080000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""1997"",""2610000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""1998"",""3360000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""1999"",""4450000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2000"",""5160000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2001"",""6380000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2002"",""7003000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2003"",""7554040"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2004"",""8378690"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2005"",""9098570"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2006"",""10005140"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2007"",""11472150"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2008"",""11396860"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2009"",""10910610"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2010"",""9834190"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2011"",""9935920"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2012"",""9740000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2013"",""8900000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2014"",""8228600"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2015"",""7798390"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2016"",""7827370"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2017"",""7560400"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2018"",""7770840"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2019"",""7692420"""
"Crops and livestock products,""Russian Federation"",""Production"",""Beer of barley, malted"",""2020"",""7945140"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""1992"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""1993"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""1994"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""1995"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""1996"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""1997"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""1998"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""1999"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2000"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2001"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2002"",""2000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2003"",""2500"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2004"",""2800"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2005"",""2500"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2006"",""2500"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2007"",""2600"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2008"",""2000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2009"",""2000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2010"",""1900"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2011"",""2500"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2012"",""2400"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2013"",""2500"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2014"",""2500"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2015"",""2400"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2016"",""3000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2017"",""2700"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2018"",""3300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2019"",""3500"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2020"",""3600"""
"Crops and livestock products,""Russian Federation"",""Production"",""Blueberries"",""2021"",""4000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""1992"",""2800"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""1993"",""6700"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""1994"",""4020"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""1995"",""10880"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""1996"",""16498"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""1997"",""20587"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""1998"",""17404"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""1999"",""18854"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2000"",""24460"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2001"",""20370"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2002"",""7640"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2003"",""25760"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2004"",""40860"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2005"",""33410"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2006"",""37650"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2007"",""18490"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2008"",""26919"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2009"",""22514"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2010"",""15262"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2011"",""17445"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2012"",""9260"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2013"",""7562"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2014"",""9140.2"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2015"",""9025.9"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2016"",""7043"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2017"",""7419.1"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2018"",""7600"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2019"",""8043.8"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2020"",""8433.2"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, dry"",""2021"",""7466.3"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""1992"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""1993"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""1994"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""1995"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""1996"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""1997"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""1998"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""1999"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2000"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2001"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2002"",""500"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2003"",""350"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2004"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2005"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2006"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2007"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2008"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2009"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2010"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2011"",""400"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2012"",""400"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2013"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2014"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2015"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2016"",""331.24"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2017"",""375.12"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2018"",""348.16"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2019"",""332.37"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2020"",""333.34"""
"Crops and livestock products,""Russian Federation"",""Production"",""Broad beans and horse beans, green"",""2021"",""333.55"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""1992"",""1037620"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""1993"",""805902"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""1994"",""781487"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""1995"",""596970"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""1996"",""482298"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""1997"",""627694"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""1998"",""464586"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""1999"",""578248"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2000"",""996943"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2001"",""573981"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2002"",""302037"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2003"",""524660"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2004"",""648726"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2005"",""604773"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2006"",""865243"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2007"",""1004433"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2008"",""924110"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2009"",""564037.7"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2010"",""339293"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2011"",""800375"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2012"",""796551"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2013"",""833936"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2014"",""661764.4"""
"Crops and livestock products,""Russian Federation"",""Production"",""Buckwheat"",""2015"",""861235.9"""
